pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
jamesje01,,"$6,600,000",,,,,"$5,800,000","$6,200,000","$5,000,000","$5,400,000","$5,455,200"
gasolma01,"$3,480,000","$3,240,000","$13,891,359","$12,922,194","$15,829,688","$14,860,523",,"$3,093,333",,,
agerma01,"$83,305",,,,,,"$974,400","$1,042,440",,"$906,480",
hillgr01,"$3,324,000","$3,000,000","$1,975,000","$6,500,000",,,"$1,830,000","$1,976,400","$15,694,250","$16,901,500","$14,487,000"
dysonje01,,,,,,,,,,,
brownma02,,,,,"$507,336",,,,,,
willijo03,,,"$762,195","$473,604",,,,,,,
hamilju01,,,,,"$816,482",,,,,,
bairsca01,,,,,"$507,336",,,,,,
datomlu01,,,,,"$1,750,000",,,,,,
bealbr01,,,"$4,133,280",,"$4,505,280","$4,319,280",,,,,
thabeha01,"$4,793,280","$4,458,840","$1,200,000","$5,127,720",,"$1,200,000",,,,,
bendejo01,,"$801,361",,,,,,,"$7,175,000",,"$6,525,000"
harrima01,"$473,604",,,"$122,942",,,,,,,
lafayol01,,,,,,,,,,,
sivape01,,,,,"$100,000",,,,,,
mohamna01,"$6,883,800","$6,466,600","$1,352,181","$3,750,000","$1,448,490","$1,399,507","$5,632,200","$6,049,400","$5,500,000","$5,215,000","$5,250,000"
hillso01,,,,,"$1,302,840","$1,246,680",,,,,
jacksda01,"$854,389","$736,420",,,,,,"$450,000",,,
haywago01,"$2,356,320",,"$2,709,720","$2,532,960","$14,746,000","$3,452,183",,,,,
landrca01,"$3,000,000","$3,000,000","$4,000,000","$8,500,000","$6,500,000","$6,500,000","$427,163","$3,000,000",,,
nestera01,,"$1,990,000",,,,,"$7,840,000","$8,400,000","$6,720,000","$7,280,000","$6,160,000"
radmavl01,"$6,883,800","$6,466,600","$1,352,181","$1,352,181",,,"$5,632,200","$6,049,400","$3,166,155","$5,215,000","$2,300,984"
arizatr01,"$6,322,320","$5,854,000","$7,258,960","$6,790,640","$8,579,089","$7,727,280","$3,100,000","$3,100,000","$682,051","$3,100,000","$385,277"
davispa01,,"$80,488",,,,,"$687,456","$328,416",,"$412,718",
davisan02,,,"$5,144,280",,"$5,607,240","$5,375,760",,,,,
kanteen01,,,"$4,443,360","$4,133,280","$5,694,674","$4,505,280",,,,,
josepco01,,,"$1,105,560","$1,028,400","$2,023,261","$1,120,920",,,,,
millspa01,"$7,600,000","$7,692,932","$8,603,633","$8,103,435","$9,500,000","$9,500,000","$687,456","$797,581",,"$625,000",
biyombi01,,,"$3,007,920","$2,798,040","$3,873,398","$3,049,920",,,,,
petrojo01,"$3,250,000","$884,881","$3,500,000","$3,250,000",,,"$1,077,120","$1,939,893","$936,600","$1,006,800",
wroteto01,,,"$1,110,120",,"$1,210,080","$1,160,040",,,,,
bhullsi01,,,,,"$29,843",,,,,,
willilo02,"$5,000,000","$4,972,500","$5,000,000","$5,176,000","$5,450,000","$5,225,000","$770,610","$4,500,000","$450,000","$664,209",
ruffimi01,,,,,,,"$1,033,930","$1,141,838","$1,670,000","$1,803,600","$745,046"
willial02,,,,,,,"$4,516,484",,"$6,300,000","$103,992","$5,850,000"
davisda01,,,,,,,,,"$3,500,000","$3,500,000","$10,068,750"
ilyaser01,"$2,320,500","$2,100,000","$7,900,000","$2,541,000","$7,900,000","$7,900,000",,,"$398,762","$664,209",
scaleal01,,,,,,,,,"$24,315",,
decolna01,,,"$1,400,000",,,"$1,463,000",,,,,
dedmode01,,,,,"$816,482",,,,,,
araujra01,,,,,,,,,"$2,238,960","$2,395,200","$2,082,720"
boganke01,"$1,600,000","$1,033,342","$1,229,225","$848,266",,"$5,058,198","$2,440,000","$2,565,000","$869,373","$2,510,000","$620,046"
navarju01,,,,,,,"$538,090",,,,
delfica01,"$3,500,000","$3,500,000","$3,000,000","$3,500,000","$650,000","$3,250,000","$1,868,141",,"$969,696","$1,037,280","$901,920"
griffed01,,,,,,,"$2,900,000",,"$2,500,000","$2,700,000","$695,046"
santida01,,,,,,,,,,,"$1,320,000"
thompja02,"$2,178,000","$2,035,920","$5,250,000","$3,001,284","$6,037,500","$5,643,750",,"$1,893,840",,,
scolalu01,"$7,775,378","$3,375,600","$4,148,510","$8,591,793","$4,868,499","$4,508,504","$2,910,000","$3,100,667",,,
moreler01,,,,,"$507,336",,,,,,
paytoga01,,,,,,,,,"$1,138,500","$1,178,348","$5,408,700"
morriad01,,"$5,257,229",,,,,"$3,887,880","$4,159,200",,"$3,616,680",
marshdo01,,,,,,,"$6,016,965","$1,262,275","$4,799,108","$5,633,037","$5,023,850"
delkto01,,,,,,,,,"$3,375,000",,"$2,700,000"
brookaa01,"$2,016,692","$1,118,520","$3,250,000",,"$1,145,685","$1,027,424","$972,720","$1,045,560",,,
sambch01,,,,,,,"$427,163","$797,581",,,
lampema01,,,,,,,,,"$900,000",,"$900,000"
howarjo01,"$3,000,000","$10,890,000","$1,229,255","$2,150,000",,,"$9,000,000","$9,945,000","$923,880","$1,667,603","$863,640"
childjo01,"$6,500,000",,"$377,474","$6,000,000","$7,317,500",,"$3,631,449",,"$2,677,200","$2,863,920","$2,490,360"
pachuza01,"$4,251,250","$4,750,000","$5,248,750","$4,750,000","$5,200,000","$5,200,000","$4,000,000","$4,000,000","$4,000,000","$4,000,000","$620,046"
laettch01,,,,,,,,,,,"$1,100,000"
youngth01,"$2,901,241","$2,105,400","$8,289,130","$7,478,261","$9,410,870","$8,600,000","$1,830,720","$1,968,120",,,
ndongbo01,,,,,,,,,"$398,762","$839,209",
dragizo01,,,,,"$1,962,103",,,,,,
declean01,,,,,,,,,,,"$2,500,000"
paytoel01,,,,,"$2,397,840",,,,,,
brownda02,,,,,,,,,,,
owensla01,"$55,718",,,"$86,052",,,,,,,
smithch04,,,,,,,,,"$771,123",,
witheje01,,,,,"$816,482",,,,,,
tskitni01,,,,,,,,,"$745,248",,"$2,910,600"
fordtj01,"$8,500,000","$8,500,000",,"$1,146,337",,,"$8,000,000","$8,000,000","$2,303,040","$2,929,467","$2,152,800"
stoudam01,"$16,486,611","$16,378,325","$19,948,799","$18,217,705","$485,670","$21,679,893","$13,762,775","$15,070,550","$2,589,023","$12,455,000","$2,032,200"
wrighlo02,,,,,,,"$3,250,000","$1,262,275","$7,700,000","$3,250,000","$7,150,000"
pendeje02,,"$457,588","$1,500,000","$1,500,000","$1,828,750","$1,750,000",,,,,
fitchge01,,,,,,,,,"$359,858",,
tayloma01,,,,,,,,,"$9,100,000","$1,065,918","$8,450,000"
hardeja01,"$4,304,520","$4,054,160","$5,820,417","$4,604,760","$14,728,844","$13,701,250",,,,,
greenor01,"$52,066",,,,,,,,"$398,762","$664,209",
ndiayha01,"$473,604",,,"$270,427",,,,,,,
millean02,"$7,269,264","$6,730,800","$5,000,000","$7,807,728","$4,625,000","$5,000,000","$9,366,666","$10,333,334","$8,100,000","$8,733,333","$7,366,667"
millean01,,,,,,,,,,,"$34,118"
cheanca01,,,,,,,,,"$1,760,000",,"$1,600,000"
willish01,,,,,,,,,,"$1,750,000",
schrode01,,,,,"$1,690,680","$1,348,200",,,,,
willish03,"$885,210","$2,416,067","$2,600,000","$3,000,000","$1,227,985",,"$1,470,360","$1,572,960",,"$1,367,760",
willish02,"$915,852","$825,497",,"$992,680",,,"$3,174,240","$3,395,760",,"$2,952,840",
blalowi01,,,,,,,,,,"$412,718",
fowlktr01,,,,,,,,,,,"$79,029"
cunnija01,,,"$1,156,320",,,"$1,208,400",,,,,
hudsotr01,,,,,,,"$1,219,590",,"$5,253,000","$5,603,000","$4,903,000"
hardati02,,,,,"$1,250,640","$1,196,760",,,,,
barrean01,,,,,,,,,,"$744,551","$385,277"
thomabi01,,,,,,,"$264,897",,,,
roberla01,,,,,,,,,"$398,762","$664,209",
murphke01,,,"$473,604",,"$65,000",,,,,,
simshe01,,,,,"$915,243",,,,,,
cooleja01,,,,,"$187,357",,,,,,
gordodr01,,,,,"$40,000",,,,,,
jonesdo02,"$1,110,120",,"$1,276,560","$1,193,280",,,,,,,
evansty01,"$3,880,920","$3,610,080","$5,251,825","$4,151,640","$10,763,500","$10,300,000",,,,,
huntech01,,"$632,455",,,,,,,,,
garcial01,,,,,,,,,,,"$620,046"
ewingda01,,,,,,,,,"$450,000","$664,209",
martica01,"$854,389","$86,638","$915,852",,"$1,145,685",,,"$200,252",,,
leonaka01,,,"$1,861,920","$1,731,960","$2,894,059","$1,887,840",,,,,
parkesm01,,,,,,,"$2,250,000","$1,660,000","$745,248","$798,112","$695,046"
milesda01,,"$9,000,000",,,,,"$8,250,000","$704,752","$7,250,000","$7,750,000","$6,750,000"
ohlbrti01,,,"$144,867",,,"$788,872",,,,,
noelda01,,,,,,,"$687,456",,,"$412,718",
gortama01,"$6,322,320","$5,854,000","$7,258,960","$6,790,640","$10,434,782","$7,727,280","$427,163","$711,517",,,
persowe01,,,,,,,,,"$1,760,000",,"$1,600,000"
garripa01,,,,,,,"$3,818,750",,"$3,231,250","$3,525,000","$2,937,500"
benimje01,,,,,"$29,843",,,,,,
jackslu02,,,,,,,"$279,415",,"$1,955,160","$40,501","$1,818,720"
jonesja02,"$1,069,509","$4,320,000","$1,500,000","$1,500,000","$1,448,490",,"$2,900,000","$4,010,000","$2,400,000","$2,650,000","$620,046"
lavinza01,,,,,"$2,055,840",,,,,,
jeffrja01,"$6,883,800","$6,466,600","$1,475,106","$1,229,255",,,"$5,632,200","$6,049,400","$2,433,824","$5,215,000","$1,834,080"
stockda01,,,,,"$29,843",,,,,,
andersh01,,,,,,,,,"$1,035,000","$7,244,726","$873,699"
evansre01,"$5,080,000","$4,960,000","$1,622,617","$1,229,255","$1,768,653","$1,695,635","$4,320,000","$4,640,000","$1,100,000","$4,000,000","$880,000"
smithth01,,,,,,,,,,,"$620,046"
robingl01,,,,,,,,,,,"$12,071,250"
casspom01,"$1,254,480","$1,167,000","$2,277,306","$1,341,960","$1,063,384","$947,907",,,,,
barbole01,"$7,100,000","$6,600,000","$1,229,255","$7,600,000","$1,448,490",,"$5,600,000","$6,100,000","$930,600","$1,679,733","$870,000"
parkean01,"$2,855,700","$2,644,230",,"$2,250,000",,,"$4,350,000","$4,550,000",,"$4,150,000",
penneki01,,,,,,,,,,,
dienetr01,,"$1,740,000",,,,,"$1,500,000","$1,620,000","$398,762","$664,209",
crawfjo02,"$1,042,320",,"$1,198,680","$1,120,440",,"$2,162,419",,,,,
crawfjo01,,,,,,,,,,,
motiedo01,,,"$1,453,520",,"$1,483,920","$1,422,720",,,,,
hamiljo02,,,"$1,153,800","$1,073,286","$150,591","$1,169,880",,,,,
jonesma03,,,,,,,,,,,
adrieje01,"$342,666",,"$804,131","$270,427","$981,084","$916,099",,,,,
